TenantId,DepartmentId,SourceDepartmentId,DepartmentDetailId,DepartmentAppliesFromDate,DepartmentAppliesUntilDate,DepartmentIsActive,DepartmentName,HospitalServiceId,IsDirectPatientCare,FunctionalGroupId,FacilityId,ActivityIdentifierTypeId
9001,4,CT00004,CE5530BE-C913-4163-9608-8B8E5AFB0FF0,2020-01-01,2099-12-31,1,Contoso Shared Services,0,0,0,1,1
9001,3,CT00003,8E0DAD48-52F7-4E5B-82D3-4CD5D6B6A0D8,2020-01-01,2099-12-31,1,Contoso Corporate Services,0,0,0,1,1
9001,5,CT00005,D492F819-6B57-41AB-9C8D-66B206B9D744,2020-01-01,2099-12-31,1,Contoso Hospital Support,0,0,0,1,1
9001,35,CT00035,E9B6E277-ED34-470B-914C-D2DB9F610372,2020-01-01,2099-12-31,1,Contoso Emergency Department,1,1,1,1,1
9001,130,CT00130,73659A80-993A-4572-849D-2CC6253928E0,2020-01-01,2099-12-31,1,Contoso Demonstration Department,0,0,0,1,1
9001,36,CT00036,CB905EE4-A920-4266-A6DC-1C2BCCBE9A35,2020-01-01,2099-12-31,1,Contoso Medical Unit East,1,1,1,1,1
9001,37,CT00037,A8086EE4-C00D-4930-94FB-CACE3BBE6EA1,2020-01-01,2099-12-31,1,Contoso Medical Unit West,1,1,1,1,1
9001,39,CT00039,62A1005A-C1E8-43B1-805C-7AF43E6E33C7,2020-01-01,2099-12-31,1,Contoso Surgical Unit,1,1,1,1,1
9001,38,CT00038,D558311E-9B01-463C-AE89-8FF1D8047B6A,2020-01-01,2099-12-31,1,Contoso Women's Health,1,1,1,1,1
9001,40,CT00040,CE6B71D1-0BBB-4A74-B424-71FAEDBC7657,2020-01-01,2099-12-31,1,Contoso Acute Care Unit,1,1,1,1,1
9001,41,CT00041,DF329D77-CD0C-4C7F-BE2C-5AA03DA5DA8D,2020-01-01,2099-12-31,1,Contoso General Medicine East,1,1,1,1,1
9001,42,CT00042,938F2D08-976D-4B44-8310-A9567A8DE6E7,2020-01-01,2099-12-31,1,Contoso Step-Down Unit,1,1,1,1,1
9001,43,CT00043,950739EF-60A2-4ECB-8357-72125FEB4985,2020-01-01,2099-12-31,1,Contoso Oncology Unit West,1,1,1,1,1
9001,44,CT00044,AA63F2DC-7DCD-44DD-92CD-21E8C1CF69EA,2020-01-01,2099-12-31,1,Contoso Cardiovascular ICU,1,1,1,1,1
9001,45,CT00045,4FFFFA55-891C-44B3-815E-73505C3BA30E,2020-01-01,2099-12-31,1,Contoso Neonatal ICU,1,1,1,1,1
9001,46,CT00046,07A5D9C3-49C6-4AE1-B427-685E7A4D3C9C,2020-01-01,2099-12-31,1,Contoso Pediatric ICU,1,1,1,1,1
9001,47,CT00047,545C422F-90CD-4EC6-A73F-150247D2FA6C,2020-01-01,2099-12-31,1,Contoso Surgical ICU,1,1,1,1,1
9001,48,CT00048,6DF19868-CC29-4BB9-9F72-ADC25242462D,2020-01-01,2099-12-31,1,Contoso Neurocritical Care Unit,1,1,1,1,1
9001,49,CT00049,AF1C7E20-DDEA-45AE-B9E5-5A40D262BFF7,2020-01-01,2099-12-31,1,Contoso Medical ICU,1,1,1,1,1
9001,50,CT00050,6FF70C36-A1C9-4A6B-A7E9-107A7CA33031,2020-01-01,2099-12-31,1,Contoso Extended Care ICU,1,1,1,1,1
9001,51,CT00051,84FE3854-719E-4F28-9AA2-6868AEA17509,2020-01-01,2099-12-31,1,Contoso Observation Unit North,1,1,1,1,1
9001,52,CT00052,C353A803-2CA0-4E2A-BF60-A67EF9056495,2020-01-01,2099-12-31,1,Contoso Cellular Therapy Unit,1,1,1,1,1
9001,53,CT00053,008D1EEA-DFAB-4E6D-9873-7754D66F246D,2020-01-01,2099-12-31,1,Contoso Oncology Unit East,1,1,1,1,1
9001,54,CT00054,904D4D53-FC79-41AE-AF97-B2E525B0E94C,2020-01-01,2099-12-31,1,Contoso Cardiac Step-Down Unit,1,1,1,1,1
9001,55,CT00055,13E48E0C-7177-4722-AF30-4AF268381DD4,2020-01-01,2099-12-31,1,Contoso General Medicine West,1,1,1,1,1
9001,56,CT00056,E5E759EA-116A-4ADB-8EDA-7422F8DE38CE,2020-01-01,2099-12-31,1,Contoso Pediatric Inpatient Unit,1,1,1,1,1
9001,57,CT00057,527478D4-100F-4C72-B608-9EFC420D1150,2020-01-01,2099-12-31,1,Contoso Cardiac Telemetry Unit,1,1,1,1,1
9001,58,CT00058,C1DFAF41-548B-4AA1-B934-B842E5C8DCA5,2020-01-01,2099-12-31,1,Contoso Observation Unit,1,1,1,1,1
9001,59,CT00059,9523072F-C521-4595-BE4F-37B8EBAA04FE,2020-01-01,2099-12-31,1,Contoso Surgical Step-Down Unit,1,1,1,1,1
9001,60,CT00060,95990B46-1E2E-4688-AE51-B4698663A498,2020-01-01,2099-12-31,1,Contoso Cardiac Care Unit,1,1,1,1,1
9001,61,CT00061,8D1C3B4F-CFDE-410A-882C-F55A12502888,2020-01-01,2099-12-31,1,Contoso Medical Unit Northeast,1,1,1,1,1
9001,63,CT00063,CCA3F8D6-26C9-46D8-BDC3-A4BE50F0EFFD,2020-01-01,2099-12-31,1,Contoso Medical ICU Training Unit,1,1,1,1,1
